template_id,course_code,course_title,semester,branch,syllabus_path_catalog,syllabus_exists,raw_extracted_path,sha256,display_label
XCT10003-unknown-semna,XCT10003,EM,,,catalog/syllabi/branch-unknown/sem-unknown/XCT10003/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/1st sem/EM_XCT10003.docx,4be57a50785edd9d6d7c4c52e4be888790571196069e0f4c871a11d8e5cb6652,"XCT10003 - EM (Unknown, Sem-NA)"
XCT1001-unknown-semna,XCT1001,FPS,,,catalog/syllabi/branch-unknown/sem-unknown/XCT1001/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/1st sem/FPS_XCT 1001.docx,a01bb35d3764a31a01d15bc79d10261a89b9d44fb666247e425ecb6438a3fe9a,"XCT1001 - FPS (Unknown, Sem-NA)"
XCT1002-unknown-semna,XCT1002,SSCT,,,catalog/syllabi/branch-unknown/sem-unknown/XCT1002/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/2nd Sem/SSCT-XCT1002.docx,ea52dbfa901c0aed8efabe2ed47b54cf3f7a2ed801fbfbd7e144170691be4b3d,"XCT1002 - SSCT (Unknown, Sem-NA)"
XCT1004-unknown-semna,XCT1004,CPCM-,,,catalog/syllabi/branch-unknown/sem-unknown/XCT1004/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/2nd Sem/CPCM- XCT 1004.docx,e4b822f13edbcb2ccbf285ee3be28e51abd1ff52adb2e6397750fd613c4c5ed7,"XCT1004 - CPCM- (Unknown, Sem-NA)"
XCT1005-unknown-semna,XCT1005,FMM Syllabus,,,catalog/syllabi/branch-unknown/sem-unknown/XCT1005/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/1st sem/FMM Syllabus-XCT1005.docx,316d174d61284905787582c14be1d8dee69f07d53ea9a3107c2547c4a842d9c5,"XCT1005 - FMM Syllabus (Unknown, Sem-NA)"
XCT1006-unknown-semna,XCT1006,SURVEYING AND MATERIAL HANDLING,,,catalog/syllabi/branch-unknown/sem-unknown/XCT1006/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/2nd Sem/SURVEYING AND MATERIAL HANDLING-XCT1006.docx,e88ee78e796c263e18b1d7d9373082601e3af13a29b0462e1a283b628d82705a,"XCT1006 - SURVEYING AND MATERIAL HANDLING (Unknown, Sem-NA)"
XCT1007-unknown-semna,XCT1007,Concrete Technology,,,catalog/syllabi/branch-unknown/sem-unknown/XCT1007/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/1st sem/Concrete Technology_XCT1007.docx,dec36a9ba55527d2e7790cb3a526b9c82fd95bc3f47d70ec2764eab32b520b85,"XCT1007 - Concrete Technology (Unknown, Sem-NA)"
XCT1008-unknown-semna,XCT1008,MOS-,,,catalog/syllabi/branch-unknown/sem-unknown/XCT1008/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/2nd Sem/MOS- XCT 1008.docx,b7fda454764897679a489a7a3e899a1e990d497053acf915e9322f31ad32f46f,"XCT1008 - MOS- (Unknown, Sem-NA)"
XCT2001-unknown-semna,XCT2001,QACC,,,catalog/syllabi/branch-unknown/sem-unknown/XCT2001/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/3rd Sem/QACC-XCT 2001.docx,6823592333762f615415bce81deb033d511081fe8ec201e28e1827fbd9bc13eb,"XCT2001 - QACC (Unknown, Sem-NA)"
XCT2002-unknown-semna,XCT2002,CSRM,,,catalog/syllabi/branch-unknown/sem-unknown/XCT2002/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/4th sem/CSRM-XCT 2002.docx,4db0c173ad124d1a4b32183e76b7a54369010b971a34f5f989e459f6cabcca9f,"XCT2002 - CSRM (Unknown, Sem-NA)"
XCT2003-unknown-semna,XCT2003,"Construction Equipment, Plant & Machinery",,,catalog/syllabi/branch-unknown/sem-unknown/XCT2003/syllabus/v1/syllabus.docx,True,"raw/syllabus/extracted/WILP Course Curriculam-2025/3rd Sem/Construction Equipment, Plant & Machinery-XCT 2003.docx",0b0b1ce2ff1c82e46953141df6857e6f7ecfcb4a50c1cbe03c59d62672c6bc29,"XCT2003 - Construction Equipment, Plant & Machinery (Unknown, Sem-NA)"
XCT2004-unknown-semna,XCT2004,PCT,,,catalog/syllabi/branch-unknown/sem-unknown/XCT2004/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/4th sem/PCT   XCT 2004.docx,6094b7382bb6fc536045d8ee89347d1ead8454fdc5e2055fa044705f4b6a5a47,"XCT2004 - PCT (Unknown, Sem-NA)"
XCT2005-unknown-semna,XCT2005,BMEPC,,,catalog/syllabi/branch-unknown/sem-unknown/XCT2005/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/3rd Sem/BMEPC_XCT 2005.docx,c34e89d12b5dc7209e09615b5ca981c817974c3db8e34fb19ece2589778758fb,"XCT2005 - BMEPC (Unknown, Sem-NA)"
XCT2006-unknown-semna,XCT2006,Industrial engg,,,catalog/syllabi/branch-unknown/sem-unknown/XCT2006/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/4th sem/Industrial engg-XCT2006.docx,df4243692032e502eeadf1b7c51359475bfd04115e0fc715f70c3435b66bd4c8,"XCT2006 - Industrial engg (Unknown, Sem-NA)"
XCT2007-unknown-semna,XCT2007,FACC,,,catalog/syllabi/branch-unknown/sem-unknown/XCT2007/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/3rd Sem/FACC-XCT 2007.docx,9ab9db9361d7dc388ae24ec630580a887081ee2dfffb26479a99b4628033e899,"XCT2007 - FACC (Unknown, Sem-NA)"
XCT2008-unknown-semna,XCT2008,QSEC,,,catalog/syllabi/branch-unknown/sem-unknown/XCT2008/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/4th sem/QSEC XCT 2008.docx,45fa4e823fe3c811385d3e1ce76bb81ba8c1034d4cefb794b4d1bc1668fccb75,"XCT2008 - QSEC (Unknown, Sem-NA)"
XCT3001-unknown-semna,XCT3001,VE,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3001/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/5th Mechanical/VE-XCT 3001.doc,fd6e69aee57fa06fe9da93f5a81792bf2377cbb54291d2810e7808cde75b8deb,"XCT3001 - VE (Unknown, Sem-NA)"
XCT3001-unknown-semna,XCT3001,VE,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3001/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/5th sem Civil/VE-XCT 3001.doc,fd6e69aee57fa06fe9da93f5a81792bf2377cbb54291d2810e7808cde75b8deb,"XCT3001 - VE (Unknown, Sem-NA)"
XCT3002-unknown-semna,XCT3002,Env Engg,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3002/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Civil/Env Engg XCT 3002.docx,1b4f4492febae89af8f84b502fb1095317ec2bee01c90d1bc7e3237f60b3f200,"XCT3002 - Env Engg (Unknown, Sem-NA)"
XCT3003-unknown-semna,XCT3003,Structural Analysis,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3003/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/5th sem Civil/Structural Analysis-XCT3003.docx,4d6c3e093790874580c91b5eab78fabdf40d8a1758272a6aba314cb929b44c59,"XCT3003 - Structural Analysis (Unknown, Sem-NA)"
XCT3004-unknown-semna,XCT3004,WILP Irrigation Engineering,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3004/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Civil/WILP Irrigation Engineering -XCT 3004.docx,c4efd1960dac08af3cce5f11cca423ee5db159a4a6ef7013df946eaddfb867d4,"XCT3004 - WILP Irrigation Engineering (Unknown, Sem-NA)"
XCT3005-unknown-semna,XCT3005,GFE,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3005/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/5th sem Civil/GFE-XCT3005.docx,e87f53c9e4926051d9ba1789d67728fd042d2b6e89ae3706b61b4f6d95db6f8a,"XCT3005 - GFE (Unknown, Sem-NA)"
XCT3006-unknown-semna,XCT3006,STRUCTURAL DESIGN-,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3006/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Civil/STRUCTURAL DESIGN- XCT 3006.docx,774aa1a33da09e2e10599a70a84308634e20d54f0553a8f66805e3272b5ac004,"XCT3006 - STRUCTURAL DESIGN- (Unknown, Sem-NA)"
XCT3008-unknown-semna,XCT3008,FRRS,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3008/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Civil/FRRS_XCT3008.docx,78e582119d98c3a49fb1db347f404fa9fac1dcae0071b4a9b99e5f5142827865,"XCT3008 - FRRS (Unknown, Sem-NA)"
XCT3009-unknown-semna,XCT3009,WTC WILP,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3009/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/5th Mechanical/WTC_XCT 3009_WILP.docx,a72b740dd1956ba77735157cf50c0520f00b3e0c5c3020b2823bbc50bc1fd396,"XCT3009 - WTC WILP (Unknown, Sem-NA)"
XCT3010-unknown-semna,XCT3010,HP S,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3010/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Mechanical/HP S_XCT 3010.docx,8895e849e53dcf3981ae48b7f2dd06b0e20371218046d995ed51cbbfb90da62f,"XCT3010 - HP S (Unknown, Sem-NA)"
XCT3011-unknown-semna,XCT3011,MCT,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3011/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/5th Mechanical/MCT-XCT 3011.docx,2e93dd0b596414e39a58cfeba062da234da1c58bf4949cede62c419df8326cf9,"XCT3011 - MCT (Unknown, Sem-NA)"
XCT3012-unknown-semna,XCT3012,HVAC SYSTEM AND THEIR APPLICATION),,,catalog/syllabi/branch-unknown/sem-unknown/XCT3012/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Mechanical/HVAC SYSTEM AND THEIR APPLICATION -XCT 3012).docx,a79ef5fcfadcf3b4937102d601d8f286fbe787d6ae62a0a63150790e730888d8,"XCT3012 - HVAC SYSTEM AND THEIR APPLICATION) (Unknown, Sem-NA)"
XCT3013-unknown-semna,XCT3013,NDET,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3013/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/5th Mechanical/NDET-XCT3013.docx,e7890f5060666c5bd86e79c84850fac5b1707253e716b7cd80233f1396c06776,"XCT3013 - NDET (Unknown, Sem-NA)"
XCT3014-unknown-semna,XCT3014,MP,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3014/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Mechanical/MP-XCT 3014.docx,cfe252c15d1a77e7a185688df15aa9b0386640bfa61e63c9316615929fd6beac,"XCT3014 - MP (Unknown, Sem-NA)"
XCT3016-unknown-semna,XCT3016,Maintenance Engineering,,,catalog/syllabi/branch-unknown/sem-unknown/XCT3016/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/6th Mechanical/Maintenance Engineering -XCT3016.docx,18c37888e05b63be09f8fa52d3ae2a1d6f1636323371a4ffa5db1a0f5b395a91,"XCT3016 - Maintenance Engineering (Unknown, Sem-NA)"
XCT4001-unknown-semna,XCT4001,SCM,,,catalog/syllabi/branch-unknown/sem-unknown/XCT4001/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/7th sem/SCM -XCT4001.docx,caa62241dbd6557a7d78613dee2a325c0b7649cedfe4c668b74cbca6d5b3d84f,"XCT4001 - SCM (Unknown, Sem-NA)"
XCT4003-unknown-semna,XCT4003,Contract laws and professional Ethics,,,catalog/syllabi/branch-unknown/sem-unknown/XCT4003/syllabus/v1/syllabus.docx,True,raw/syllabus/extracted/WILP Course Curriculam-2025/7th sem/Contract laws and professional Ethics-XCT 4003.docx,399f13a74ab18cc5942042862d85e2a0d1af7c814cd5a7b4b9deb1e09a9b1f74,"XCT4003 - Contract laws and professional Ethics (Unknown, Sem-NA)"
